"min","max","avg"
0.980556,1.000000,0.993518
0.997222,1.000000,0.999537
0.991667,1.000000,0.996759
1.000000,1.000000,1.000000
0.988889,1.000000,0.997222
0.991667,1.000000,0.996759
0.994444,1.000000,0.998611
0.994444,1.000000,0.998148
0.994444,1.000000,0.999074
0.988889,1.000000,0.995833
0.994444,1.000000,0.998148
0.994444,1.000000,0.997222
0.983333,1.000000,0.994445
0.994444,1.000000,0.998148
0.994444,1.000000,0.997222
0.991667,1.000000,0.998148
0.988889,1.000000,0.998148
0.997222,1.000000,0.999074
0.997222,1.000000,0.998148
0.994444,1.000000,0.997685
0.994444,1.000000,0.998611
0.994444,1.000000,0.998611
0.994444,1.000000,0.998148
0.997222,1.000000,0.998611
