"min","max","avg"
0.875000,0.933333,0.901667
0.897222,0.927778,0.917222
0.894444,0.950000,0.916667
0.913889,0.961111,0.936111
0.908333,0.958333,0.931667
0.894444,0.961111,0.929444
0.902778,0.958333,0.923333
0.911111,0.969444,0.933889
0.905556,0.963889,0.936667
0.911111,0.930556,0.919445
0.913889,0.963889,0.929444
0.905556,0.947222,0.926667
0.911111,0.944444,0.928889
0.888889,0.955556,0.913889
0.900000,0.958333,0.927222
0.911111,0.941667,0.924445
0.897222,0.963889,0.920556
0.908333,0.950000,0.922778
0.908333,0.950000,0.933889
0.919444,0.955556,0.931667
0.902778,0.963889,0.927778
0.905556,0.950000,0.929445
0.908333,0.958333,0.935000
0.913889,0.952778,0.932222
