"min","max","avg"
2106.85,4106.27,3125.03
1547.00,4880.29,2885.74
1530.29,5414.58,3087.93
1349.88,6037.08,3095.50
1349.25,4691.46,2856.44
1606.33,3650.57,2752.51
1618.50,3646.89,2779.57
1444.75,3829.62,2818.79
1482.58,5688.00,3191.25
1707.25,3957.79,2898.11
1715.08,3865.83,2906.01
1866.96,3792.95,2924.15
1866.46,5212.03,3179.10
1997.42,6217.00,3513.56
1893.54,5060.68,3259.50
1824.96,3931.33,3069.31
1777.33,3760.96,2909.83
1774.17,3760.91,2934.31
1781.11,3644.42,2879.98
1752.88,3685.53,3052.22
1402.71,5290.73,3114.45
1533.88,5593.92,3256.44
1370.50,5608.67,3254.12
2356.46,5756.21,3602.19
