"min","max","avg"
8822.29,10693.66,9547.11
7266.45,9928.10,8539.60
7185.33,9996.05,8729.92
7298.88,9633.19,8476.34
7235.83,9524.69,8533.31
7296.79,9263.37,8513.39
7432.52,8866.19,8498.21
7388.97,9678.53,8732.87
7624.21,11331.26,8865.48
7833.14,11909.55,9235.85
8136.38,12141.92,9665.79
8187.02,12201.88,9725.43
7526.66,10373.55,9076.45
9660.94,11326.16,10331.93
8596.30,13129.09,10535.67
8695.09,12258.19,10320.27
8729.27,11762.90,9893.05
8498.86,10050.32,9012.37
7464.82,10099.41,8530.14
7401.33,10245.36,8566.86
7353.57,9830.39,8321.09
7278.23,9777.61,8345.69
7374.04,9541.80,8225.67
7173.03,10598.19,8535.91
