"min","max","avg"
1350.75,3646.53,2603.34
1588.50,3500.50,2804.88
1372.50,3644.75,2689.79
1372.00,3533.25,2468.67
1419.00,4865.25,2647.67
1403.00,4749.75,2585.08
1325.00,4730.50,2485.08
1347.75,4541.50,2463.75
1414.75,4974.75,2589.13
1445.00,5165.00,2659.21
1437.00,4965.75,2697.63
1417.50,4583.50,2801.04
1392.50,3713.00,2645.71
1459.00,3785.75,2640.29
1497.25,3916.25,2793.38
1391.00,3503.75,2673.71
1465.50,4023.00,2715.96
1478.50,3733.00,2761.96
1501.00,4646.25,2824.67
1286.00,4367.50,2675.21
1401.00,4382.75,2752.67
1340.50,4957.50,2781.42
1353.00,4869.25,2801.67
1481.00,4594.00,2760.46
