"min","max","avg"
7614.50,12873.62,10449.80
4100.25,12098.00,8884.00
4521.36,10972.25,8750.89
4761.00,11091.50,8687.42
5406.75,11592.75,8973.40
5658.00,11615.00,9106.75
4541.00,11609.00,8922.17
3625.25,11425.50,8583.42
3789.00,11480.50,8597.10
3976.75,11134.50,8461.58
3839.25,11132.00,8540.56
3690.25,11767.00,8624.08
3996.25,11279.75,8771.46
4410.75,12128.02,8817.59
4058.25,11699.25,8921.60
4339.75,12108.00,8748.11
3676.50,11598.00,8247.08
3981.50,11639.00,7883.17
3555.50,10356.25,7510.03
4018.75,10976.75,7876.90
4056.50,10159.50,7648.29
3645.75,10527.00,7709.03
3845.00,12175.75,8028.83
3940.50,11686.00,7916.19
