"Orchestra","DIME"
0.541667,1
0.791667,1
0.7083335,0.91666675
0.583333375,0.958333375
0.75,1
0.666666625,1
0.5833335,0.958333375
0.79166675,1
0.833333375,1
0.833333375,1
0.91666675,1
0.91666675,1
0.958333375,1
0.875,1
0.958333375,1
0.875000125,1
0.91666675,1
0.91666675,1
0.958333375,1
1,1
1,1
0.8333335,1
0.875000125,1
0.91666675,1
0.91666675,1
0.875000125,0.958333375
0.91666675,1
0.958333375,0.958333375
0.958333375,0.958333375
0.958333375,1
0.958333375,0.958333375
0.958333375,1
0.91666675,1
0.91666675,1
0.91666675,1
0.958333375,1
0.958333375,1
1,1
0.91666675,1
0.958333375,1
0.833333375,1
0.91666675,0.91666675
0.875000125,1
0.91666675,1
0.91666675,1
0.958333375,1
1,0.958333375
0.91666675,0.958333375
1,0.958333375
0.958333375,1
1,1
0.91666675,0.958333375
0.958333375,0.958333375
1,1
0.958333375,1
0.91666675,1
0.958333375,1
0.958333375,1
0.958333375,1
0.91666675,1
0.91666675,1
0.875000125,1
0.958333375,1
0.91666675,1
1,1
0.91666675,1
0.958333375,1
0.958333375,1
0.91666675,1
0.91666675,1
0.958333375,1
0.958333375,1
1,1
0.91666675,1
0.958333375,1
1,1
0.91666675,1
0.875000125,1
0.952381,1
0.952381,1
