"Orchestra","DIME"
12646.25,4846.25
30055.625,2686.875
19636.428571428572,4352.5
31039.166666666668,3177.5
37867.5,3260.625
22053.333333333332,3465
20420.833333333332,3412.1875
16717.1875,3647.5
12481.5625,3325.625
9444.0625,3251.875
10449.6875,3716.25
9533.125,3806.25
13338.75,3714.375
9645.3125,3249.375
8380.3125,2518.125
8561.5625,2903.75
9736.875,3161.25
8604.0625,2371.875
9533.125,2544.375
10529.375,2309.375
9808.125,2888.75
9039.0625,2802.5
10362.8125,2742.5
9575,2827.5
8530.9375,2763.125
9474.375,2749.0625
10665.9375,2796.25
9501.25,2325.625
10494.0625,2662.1875
9043.75,3050
9800.9375,2359.6875
8925.3125,2636.25
8851.5625,2398.125
9073.4375,2986.25
8390.9375,2759.375
7641.25,3291.25
7496.25,2483.75
8842.5,2500.625
8722.8125,2894.375
8761.25,2708.125
7867.8125,2473.125
9547.1875,3697.1875
9248.75,2668.75
9211.25,2636.25
9724.0625,2754.375
8157.8125,2691.25
9048.125,2914.0625
8269.375,2840.3125
7870,2806.875
8985.9375,2822.5
8991.25,2906.875
7860.625,2598.4375
8246.25,3282.1875
8281.875,3193.75
7368.4375,2771.25
8233.75,3194.375
7259.375,3658.125
9748.75,2741.875
8701.5625,3271.25
8631.25,3316.25
9162.1875,2373.125
9488.4375,2547.5
10699.375,3363.75
9672.8125,2958.75
9241.25,3110.625
8213.125,2718.75
8828.125,3408.75
8757.5,3205.625
8618.125,3138.125
8935,3070
9056.875,3147.5
7712.1875,3108.75
8033.125,3205.625
8658.125,2871.875
8920.625,3053.125
7985.625,3139.375
8924.0625,3307.5
8518.75,2916.875
9946.785714285714,3697.5
9281.785714285714,2824.375
